user_id,timestamp,last_three_pages_visited,past_purchase_amounts,mean_purchase,purchase
7270,2023-04-01 17:37:15.910922,cart/home/checkout,"[22, 55, 52]",43.0,0
860,2023-04-07 23:41:15.910922,checkout/products/home,"[70, 12, 26]",36.0,0
5390,2023-04-06 02:37:15.910922,home/products/cart,"[10, 80, 61]",50.333333333333336,0
5191,2023-04-03 14:21:15.910922,checkout/cart/home,"[40, 83, 96]",73.0,0
5734,2023-04-05 11:17:15.910922,home/products/cart,"[61, 53, 49]",54.333333333333336,0
6265,2023-04-05 20:52:15.910922,cart/checkout/home,"[86, 70, 81]",79.0,0
466,2023-04-04 10:09:15.910922,products/cart/home,"[49, 83, 24]",52.0,1
4426,2023-04-08 11:22:15.910922,cart/checkout/home,"[68, 97, 97]",87.33333333333333,1
5578,2023-04-06 08:31:15.910922,home/cart/checkout,"[71, 87, 7]",55.0,0
8322,2023-04-02 10:53:15.910922,home/products/cart,"[58, 82, 68]",69.33333333333333,0
1685,2023-04-04 09:04:15.910922,cart/products/checkout,"[44, 63, 59]",55.333333333333336,1
769,2023-04-05 00:19:15.910922,home/cart/products,"[66, 8, 64]",46.0,1
6949,2023-04-05 16:22:15.910922,cart/checkout/home,"[79, 99, 95]",91.0,0
2433,2023-04-03 13:32:15.910922,products/cart/home,"[34, 6, 66]",35.333333333333336,1
5311,2023-04-06 05:20:15.910922,cart/checkout/home,"[53, 13, 96]",54.0,0
5051,2023-04-05 22:11:15.910922,cart/products/checkout,"[35, 65, 83]",61.0,1
6420,2023-04-07 07:36:15.910922,products/checkout/home,"[52, 29, 40]",40.333333333333336,0
1184,2023-04-04 13:56:15.910922,products/checkout/cart,"[12, 77, 62]",50.333333333333336,0
4555,2023-04-06 03:32:15.910922,cart/home/products,"[49, 66, 43]",52.666666666666664,1
3385,2023-04-06 04:31:15.910922,cart/home/checkout,"[62, 85, 87]",78.0,0
6396,2023-04-07 10:03:15.910922,home/checkout/cart,"[68, 48, 33]",49.666666666666664,0
8666,2023-04-02 00:51:15.910922,home/products/checkout,"[63, 75, 96]",78.0,0
9274,2023-04-06 10:58:15.910922,cart/products/home,"[13, 96, 10]",39.666666666666664,1
2558,2023-04-06 13:36:15.910922,checkout/home/cart,"[33, 62, 21]",38.666666666666664,1
7849,2023-04-06 10:16:15.910922,home/cart/checkout,"[20, 91, 99]",70.0,1
2047,2023-04-07 06:34:15.910922,checkout/products/cart,"[7, 25, 68]",33.333333333333336,0
2747,2023-04-05 18:27:15.910922,home/cart/products,"[94, 40, 90]",74.66666666666667,1
9167,2023-04-05 07:46:15.910922,cart/home/checkout,"[66, 46, 80]",64.0,0
9998,2023-04-04 00:54:15.910922,home/products/cart,"[46, 65, 17]",42.666666666666664,0
189,2023-04-05 01:37:15.910922,checkout/cart/home,"[15, 58, 20]",31.0,1
2734,2023-04-06 16:20:15.910922,checkout/products/cart,"[12, 63, 61]",45.333333333333336,0
3005,2023-04-03 14:56:15.910922,checkout/home/products,"[44, 63, 6]",37.666666666666664,0
4658,2023-04-01 22:44:15.910922,home/cart/checkout,"[98, 98, 80]",92.0,0
1899,2023-04-02 17:35:15.910922,cart/home/checkout,"[14, 48, 15]",25.666666666666668,0
7734,2023-04-06 03:01:15.910922,checkout/cart/home,"[83, 84, 85]",84.0,1
1267,2023-04-04 01:52:15.910922,cart/checkout/home,"[94, 6, 54]",51.333333333333336,0
1528,2023-04-05 15:16:15.910922,checkout/home/products,"[16, 94, 27]",45.666666666666664,1
3556,2023-04-03 00:38:15.910922,home/cart/checkout,"[22, 66, 66]",51.333333333333336,0
3890,2023-04-02 11:22:15.910922,products/checkout/cart,"[42, 71, 42]",51.666666666666664,0
8838,2023-04-08 04:32:15.910922,cart/checkout/products,"[71, 98, 65]",78.0,0
5393,2023-04-07 10:23:15.910922,cart/products/checkout,"[5, 98, 49]",50.666666666666664,1
8792,2023-04-03 00:35:15.910922,cart/products/home,"[32, 25, 17]",24.666666666666668,0
8433,2023-04-02 14:31:15.910922,products/cart/home,"[31, 11, 26]",22.666666666666668,1
7513,2023-04-02 22:58:15.910922,cart/products/home,"[78, 57, 83]",72.66666666666667,0
2612,2023-04-02 13:02:15.910922,products/cart/home,"[83, 8, 27]",39.333333333333336,0
7041,2023-04-02 13:59:15.910922,cart/home/checkout,"[74, 92, 88]",84.66666666666667,0
9555,2023-04-04 01:18:15.910922,home/products/cart,"[88, 80, 37]",68.33333333333333,1
6235,2023-04-06 01:28:15.910922,products/cart/home,"[32, 12, 5]",16.333333333333332,1
5486,2023-04-03 20:25:15.910922,home/cart/checkout,"[41, 67, 26]",44.666666666666664,0
7099,2023-04-02 05:02:15.910922,products/home/checkout,"[74, 25, 39]",46.0,0
9670,2023-04-05 02:37:15.910922,products/checkout/home,"[83, 9, 64]",52.0,0
775,2023-04-07 17:23:15.910922,cart/home/checkout,"[50, 54, 52]",52.0,1
